# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
40,2.32780067,1.62618443
40,2.34248758,1.76053915
40,2.35686201,1.85194482
40,2.38592355,1.99810081
40,2.39623561,2.01863283
40,2.40904767,2.03092443
40,2.42560962,2.04963675
40,2.45685848,2.09370596
40,2.46873312,2.08297567
40,2.48810734,2.04159086
40,2.51654373,1.96623879
40,2.54466784,1.87398163
40,2.56560464,1.78336433
40,2.60997803,1.55822053
40,2.64778906,1.35652879
40,2.70466204,1.04810009
40,2.75622275,0.79385575
40,2.79184645,0.64107720
40,2.83059490,0.49731273
40,2.86653108,0.38607973
40,2.90496725,0.28923405
40,2.94527828,0.20945494
40,2.98965167,0.14377393
40,3.03965000,0.09170655
40,3.09902258,0.05207244
40,3.17433236,0.02432255
40,3.19995647,0.01859992
60,1.40006732,0.00000000
60,2.20128819,0.01062511
60,2.21160045,0.02731880
60,2.21535034,0.05319100
60,2.21722519,0.08673178
60,2.21878756,0.15049546
60,2.22003766,0.27340420
60,2.22097508,0.49481317
60,2.22191251,1.06190810
60,2.22316241,2.43341152
60,2.22347488,2.25052164
60,2.22534993,0.49988763
60,2.22691230,0.20743618
60,2.22878735,0.11241167
60,2.23066220,0.08493190
60,2.23347467,0.07915569
60,2.24097426,0.09428072
60,2.25316137,0.17469844
60,2.25784869,0.21097649
60,2.26128611,0.24455471
60,2.27128569,0.39433102
60,2.28941002,0.78779093
60,2.29222249,0.78939849
60,2.29440982,0.77113395
60,2.29847218,0.72930798
60,2.30972187,0.69477036
60,2.31628404,0.66276006
60,2.31972146,0.66494605
60,2.32409630,0.69085496
60,2.32909610,0.74730680
60,2.33659589,0.86246988
60,2.35472021,1.15029097
60,2.36128258,1.21433212
60,2.36690732,1.24251583
60,2.37815681,1.27345442
60,2.38159423,1.26281809
60,2.38471917,1.25863622
60,2.38846907,1.27850539
60,2.39346886,1.32459984
60,2.40003103,1.39920759
60,2.40315597,1.44305806
60,2.40721834,1.51078192
60,2.41096824,1.45805683
60,2.41378051,1.48313406
60,2.42221773,1.56294986
60,2.43221751,1.62726555
60,2.45065431,1.71743875
60,2.46409132,1.79781390
60,2.47377843,1.84268029
60,2.49065286,1.88830568
60,2.52596409,1.96439620
60,2.54252584,1.99419262
60,2.55565038,1.99658708
60,2.58221192,1.97094537
60,2.61096098,1.92254528
60,2.63721005,1.85405728
60,2.65970922,1.77578517
